0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:43 +0530] "GET /jenkins/adjuncts/6fa5cacd/lib/layout/menu_down_arrow.png HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:43 +0530] "GET /jenkins/adjuncts/6fa5cacd/lib/layout/menu_right_arrow2.png HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:43 +0530] "GET /jenkins/static/6fa5cacd/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:44 +0530] "GET /jenkins/static/6fa5cacd/images/top-sticker-bottom-edge.png HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:44 +0530] "GET /jenkins/static/6fa5cacd/favicon.ico HTTP/1.1" 200 17542
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:54 +0530] "POST /jenkins/j_acegi_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:17:54 +0530] "GET /jenkins HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/ HTTP/1.1" 200 4241
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/scripts/yui/cookie/cookie-min.js HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/adjuncts/6fa5cacd/jenkins/management/AdministrativeMonitorsDecorator/resources.css HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/adjuncts/6fa5cacd/jenkins/management/AdministrativeMonitorsDecorator/resources.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/new-package.png HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/user.png HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/notepad.png HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/search.png HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/fingerprint.png HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/gear2.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/plugin/credentials/images/24x24/credentials.png HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/plugin/cloudbees-folder/images/24x24/folder.png HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:00 +0530] "GET /jenkins/static/6fa5cacd/images/16x16/collapse.png HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/16x16/computer.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/16x16/computer-x.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/16x16/notepad.png HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/32x32/red.png HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/32x32/health-00to19.png HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/16x16/health-00to19.png HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/24x24/clock.png HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:01 +0530] "GET /jenkins/static/6fa5cacd/images/atom.gif HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:06 +0530] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:06 +0530] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:11 +0530] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:11 +0530] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:16 +0530] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:16 +0530] "POST /jenkins/ajaxExecutors HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [16/Feb/2018:11:18:21 +0530] "POST /jenkins/ajaxBuildQueue HTTP/1.1" 200 314
